Zone-1,Zone-2,Zone-3,Zone -4,Zone-5,Zone-6,Zone-7
1.59622,1.46322,1.491306,1.629466,1.615678,1.791963,1.21857
1.1652,2.23588,1.479147,1.560488,1.67932,1.629564,1.052642
1.10676,1.53257,1.372025,1.460327,1.558187,1.447517,0.900788
1.94352,2.00325,1.260831,1.338593,1.397982,1.295905,0.805041
4.00984,5.57446,1.018118,1.078696,1.128057,1.11811,0.702045
2.32543,3.72626,1.249845,1.294399,1.334393,1.359355,0.985295
0.476301,0.586953,0.519695,0.545982,0.575291,0.760155,0.400127
0.430644,0.447369,0.429986,0.449324,0.474541,0.706795,0.348796
0.402869,0.406028,0.391567,0.407843,0.431207,0.673169,0.318138
0.389167,0.390448,0.376219,0.392221,0.415455,0.66621,0.303176
0.412269,0.377126,0.363596,0.378775,0.40162,0.692587,0.323151
0.941176,0.98852,0.403302,0.420749,0.446789,0.77702,0.386547
0.704646,0.639372,0.593217,0.631856,0.696244,1.134536,0.589226
3.4547,3.88077,0.796748,0.875675,1.016724,1.197729,0.729328
1.36728,2.78733,0.775046,0.846051,0.963536,1.325931,0.835203
0.971669,0.671166,0.631808,0.66482,0.71293,1.313819,0.881504
1.39247,0.673222,0.643624,0.670077,0.70504,1.474265,0.899149
1.74517,1.83328,0.847915,0.874367,0.908925,1.517316,1.095485
1.84015,1.39681,0.653917,0.680176,0.714485,1.322156,0.910242
1.94369,1.64773,0.746606,0.774883,0.808454,1.374813,0.969702
0.90046,0.683562,0.657933,0.692165,0.719141,1.258288,0.852822
0.924992,0.69969,0.691647,0.744679,0.747264,1.310083,0.900726
1.01062,0.870834,0.902099,0.996624,0.952481,1.464688,1.046903
2.03134,2.10869,1.47525,1.614712,1.541492,1.997027,1.438896
1.98003,2.01655,1.522658,1.660818,1.64703,1.809398,1.249922
1.20807,1.61275,1.510499,1.59184,1.710672,1.650122,1.083994
1.15113,1.56453,1.403991,1.492293,1.590153,1.471306,0.932754
1.04983,1.36621,1.294028,1.37179,1.431179,1.324571,0.838238
0.822432,1.10125,1.045167,1.105745,1.155106,1.194109,0.729094
0.608856,0.823874,0.782817,0.827371,0.867365,0.913878,0.518267
3.14742,2.78631,1.064422,1.090709,1.120018,1.311049,0.944854
1.47966,1.98007,0.575488,0.594826,0.620043,0.843132,0.494298
