Zone-1,Zone-2,Zone-3,Zone-4,Zone-5,Zone-6,Zone-7
37.101693,47.674317,29.141012,31.904212,31.255637,29.225576,23.443052
31.42594,41.048909,29.982845,31.609665,34.620315,28.221058,22.31916
31.273846,47.79431,27.671796,29.437836,31.946915,25.18837,20.13615
28.655993,51.718566,26.750783,28.306023,30.055111,21.863282,17.758649
39.730731,61.325755,21.481083,22.692643,24.258661,19.038327,15.469973
34.804242,54.800915,18.92239,19.81347,17.690235,15.68176,13.892091
37.161327,42.76443,12.121877,12.647617,13.717058,13.05995,10.515339
32.439618,22.827799,10.13345,10.52021,13.670424,10.907631,11.407103
23.407593,8.435793,7.934916,8.260436,8.855917,10.645898,10.216787
15.986898,9.675256,7.729999,8.050039,8.647683,9.419516,8.064118
8.281522,8.81897,7.54936,7.85294,8.379397,7.47416,6.568544
12.059378,21.652686,8.680799,9.029739,9.630327,8.898504,7.479929
13.501199,26.421428,12.419299,13.192079,14.386564,13.051607,10.618349
32.825122,45.44024,16.074449,17.652989,20.006153,15.361254,12.290225
24.785146,39.194866,15.088086,16.508186,18.100881,16.771962,13.481495
34.670226,36.945841,13.077342,13.737582,14.288679,18.056897,14.720098
30.534813,27.465152,13.24602,13.77508,14.363058,19.036501,15.937875
32.66827,26.215723,14.642347,15.171387,14.445229,20.731825,17.760067
29.66545,23.864186,13.559427,14.084607,14.719736,21.392237,17.892221
32.526475,28.128258,14.266734,14.832274,15.885808,21.709635,19.362848
29.595952,20.456753,13.855604,14.540244,15.406625,21.970622,19.118997
30.732611,21.614634,15.594305,16.654945,17.688708,22.561154,19.912
25.420733,20.870941,18.589953,20.480453,19.634088,24.043844,21.049852
30.164249,31.229761,26.013775,28.803015,25.321283,28.82265,24.452725
30.001467,35.693943,30.256193,33.019393,32.383727,30.543229,24.292234
31.180543,38.297935,31.097415,32.724235,36.534524,29.363293,23.936014
31.311696,34.229025,28.291457,30.057497,32.55982,26.624882,21.729639
27.957963,27.083739,25.386151,26.941391,28.174881,23.137902,18.871991
20.330376,28.033715,22.643739,23.855299,25.469503,19.657377,16.08533
14.266689,26.274981,18.050121,18.941201,20.943376,14.306673,12.536062
26.742085,31.333007,15.051535,15.577275,13.114374,13.745742,12.684593
21.944451,26.867919,11.385061,11.771821,11.568381,12.535496,9.993555
26.913678,23.065122,10.005603,10.331123,13.650239,10.635143,10.90963
